"weight","lon","lat","interval"
1,120.29880,23.30427,1454112000
1,120.30631,22.83509,1454115600
1,120.51200,23.86550,1454119200
5,120.57139,24.12139,1454122800
6,120.65365,24.23083,1454126400
1,120.65400,24.27870,1454130000
1,120.82417,24.55538,1454133600
2,120.82515,24.58742,1454137200
6,120.95228,24.75281,1454140800
2,121.00045,24.87071,1454144400
19,121.01164,24.87244,1454148000
1,121.09071,24.72104,1454151600
1,121.12480,24.72473,1454155200
45,121.36972,25.06103,1454158800
10,121.40005,25.01695,1454162400
27,121.41766,24.98354,1454166000
31,121.45858,25.04628,1454169600
172,121.46804,25.02203,1454173200
32,121.49982,25.06269,1454176800
12,121.53092,25.04559,1454180400
3,121.55323,25.08027,1454184000
7,121.55825,25.03562,1454187600
20,121.58192,25.04910,1454191200
7,121.74550,25.13163,1454194800
6,121.78670,24.45914,1454112000
1,121.81265,24.81500,1454115600
1,119.95429,26.16347,1454119200
1,120.16416,23.07095,1454122800
1,120.28931,23.00186,1454126400
1,120.34979,22.63513,1454130000
14,120.56190,24.10472,1454133600
1,120.63703,24.10761,1454137200
1,120.66468,23.98983,1454140800
1,120.68538,23.90591,1454144400
1,120.71771,24.30931,1454148000
4,120.76685,24.62003,1454151600
2,120.87700,24.57947,1454155200
19,120.91684,24.69471,1454158800
1,120.96752,24.46917,1454162400
2,121.02611,24.79805,1454166000
1,121.02929,22.70350,1454169600
14,121.15379,24.95254,1454173200
9,121.26766,24.99110,1454176800
3,121.29775,24.97647,1454180400
26,121.42380,25.01253,1454184000
7,121.42500,24.99870,1454187600
39,121.46772,25.09427,1454191200
4,121.49129,25.14530,1454194800